Time_Hour,169,220,236,101,146,189,84,192,8,53,116,159,69,223,169F,220F,236F,101F,146F,189F,84F,192F,8F,53F,116F,159F,69F,223F
11.1775,0.24225,0.26895,0.13985,0.10355,0.32005,0.32005,0.3224,0.3771,0.3535,0.14335,0.2806,0.32985,0.25755,0.2282,0.098,0.04955,0.0053,0.00485,0.17315,0.1014,0.15565,0.12485,0.082,0.18265,0.18985,0.1788,0.1514,0.1297
11.344167,0.23585,0.27125,0.13815,0.1054,0.3155,0.3161,0.31515,0.37245,0.3456,0.13135,0.28365,0.3202,0.26575,0.23325,0.0863,0.04265,-0.00305,0.00565,0.16745,0.0976,0.1551,0.1209,0.0843,0.1889,0.19205,0.1799,0.15025,0.11605
11.510833,0.23905,0.27075,0.13505,0.10555,0.32735,0.3199,0.32135,0.37355,0.3498,0.1356,0.28605,0.3147,0.25495,0.2286,0.09335,0.042,0.00225,-0.00085,0.16925,0.09075,0.15315,0.1199,0.0755,0.17945,0.18995,0.1684,0.14975,0.123
11.6775,0.2332,0.26795,0.13475,0.1024,0.3222,0.3198,0.3174,0.3712,0.3509,0.13185,0.28145,0.3214,0.2559,0.2285,0.08815,0.0426,-0.00095,-0.0009,0.1717,0.09305,0.151,0.12175,0.08235,0.18715,0.19,0.18105,0.14815,0.1198
11.844444,0.2296,0.2697,0.138,0.11075,0.3245,0.31385,0.31765,0.3706,0.3447,0.1309,0.28285,0.3133,0.2622,0.23205,0.08285,0.04315,-0.0049,0.00145,0.16745,0.0874,0.1512,0.1148,0.0707,0.18175,0.1873,0.171,0.1464,0.11505
12.011389,0.2328,0.27145,0.13595,0.10705,0.3255,0.3144,0.30995,0.3733,0.35405,0.13785,0.27985,0.32545,0.2546,0.22535,0.09035,0.04,-0.0028,-0.0032,0.16665,0.08655,0.1494,0.12605,0.0809,0.1769,0.17935,0.1757,0.14615,0.125
12.178333,0.23645,0.2762,0.139,0.1089,0.3224,0.31145,0.3213,0.37505,0.35305,0.1363,0.28285,0.31865,0.2596,0.22865,0.09105,0.03885,-0.0016,0.0007,0.16515,0.0826,0.15235,0.1186,0.07255,0.17025,0.1813,0.17055,0.1449,0.11525
12.345278,0.2336,0.27175,0.14065,0.10905,0.31855,0.30825,0.31365,0.3729,0.34645,0.12265,0.28145,0.32005,0.25135,0.2241,0.0852,0.0408,-0.00355,0.0004,0.16415,0.08145,0.14905,0.1131,0.0677,0.1865,0.18585,0.182,0.1446,0.12295
12.512222,0.2356,0.27395,0.14125,0.10585,0.3102,0.30735,0.3114,0.376,0.3565,0.1345,0.2811,0.32405,0.25985,0.22645,0.08295,0.0401,-0.005,0.0033,0.1609,0.0855,0.1479,0.124,0.0763,0.1764,0.17435,0.17415,0.1436,0.11485
12.679167,0.2342,0.27065,0.1387,0.1011,0.31605,0.312,0.31275,0.3701,0.34885,0.12215,0.2814,0.31345,0.26075,0.2232,0.08745,0.03475,-0.0067,-0.00585,0.1592,0.0809,0.1485,0.1121,0.0659,0.1841,0.18185,0.1763,0.1379,0.12455
12.845833,0.22575,0.268,0.13815,0.11045,0.31785,0.3054,0.3108,0.37435,0.349,0.1247,0.27675,0.3236,0.2613,0.22555,0.0801,0.03195,-0.0108,-0.0015,0.1614,0.0805,0.1505,0.1149,0.0684,0.18765,0.1833,0.1842,0.13905,0.11615
13.0125,0.2359,0.27475,0.14355,0.10885,0.31995,0.3076,0.30945,0.3698,0.3518,0.1196,0.282,0.31505,0.26085,0.22515,0.09135,0.0343,-0.00575,-0.00635,0.1592,0.08005,0.149,0.11535,0.06985,0.18665,0.1829,0.1783,0.1399,0.1169
13.179444,0.2263,0.2679,0.14055,0.10855,0.31725,0.30385,0.3156,0.3744,0.3567,0.12965,0.27975,0.32465,0.25355,0.22115,0.0812,0.02975,-0.0104,-0.005,0.1597,0.08035,0.14705,0.1226,0.07265,0.1809,0.17185,0.17775,0.139,0.12505
13.346111,0.23315,0.2646,0.1387,0.10595,0.3065,0.3043,0.3057,0.375,0.35665,0.127,0.27845,0.32605,0.2592,0.2253,0.08085,0.0303,-0.01295,0.0004,0.1537,0.08175,0.1448,0.12615,0.0746,0.18365,0.17565,0.18125,0.13175,0.1134
13.513055,0.233,0.27295,0.14045,0.10465,0.31625,0.30285,0.315,0.37305,0.35295,0.12685,0.28475,0.3215,0.2571,0.2258,0.0868,0.0259,-0.01335,-0.0107,0.15905,0.0817,0.1437,0.1202,0.06745,0.17675,0.16955,0.17295,0.1349,0.1125
13.679722,0.2322,0.2704,0.14345,0.1012,0.3141,0.30505,0.3141,0.3719,0.35195,0.1252,0.28425,0.31635,0.256,0.2233,0.08935,0.0313,-0.0114,-0.01205,0.15435,0.07845,0.14245,0.11945,0.06565,0.1745,0.1719,0.171,0.13175,0.11625
13.846389,0.2269,0.2656,0.1418,0.10845,0.31475,0.29875,0.3155,0.37665,0.3548,0.117,0.28045,0.31375,0.24765,0.2217,0.0752,0.028,-0.0174,-0.0069,0.15455,0.07735,0.14375,0.12425,0.06755,0.17655,0.17815,0.17365,0.13765,0.12315
14.013055,0.2227,0.26505,0.1423,0.107,0.30925,0.3016,0.31105,0.37365,0.353,0.11295,0.27925,0.3134,0.2511,0.22875,0.08005,0.02635,-0.01795,-0.00625,0.15335,0.07595,0.1421,0.1165,0.06205,0.1753,0.17665,0.17375,0.13325,0.112
14.18,0.23175,0.2694,0.1442,0.10475,0.30155,0.29845,0.31265,0.37435,0.3518,0.12085,0.28395,0.31405,0.256,0.22405,0.0792,0.02925,-0.01925,-0.00155,0.14995,0.08005,0.1406,0.1194,0.0627,0.1766,0.16785,0.17205,0.12705,0.11665
