Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
8.839445,0.24315,0.2152,0.308,0.19905,0.144,0.2718,0.3914,0.30455,0.13115,0.26605,0.32515,0.11505,0.18825,0.09945,0.1531,0.1192,0.1288,0.10565,0.1951,0.13765,0.164,0.14945
9.006389,0.2443,0.2173,0.30665,0.19755,0.14245,0.2728,0.3913,0.2996,0.1315,0.26385,0.3211,0.11365,0.19175,0.0921,0.1522,0.1192,0.1281,0.10465,0.2069,0.1392,0.17005,0.15035
9.173334,0.24355,0.2145,0.30185,0.1945,0.14405,0.27365,0.39065,0.29715,0.1306,0.26545,0.3232,0.1126,0.2054,0.0931,0.1479,0.1178,0.1275,0.105,0.2171,0.13905,0.1776,0.15135
9.34,0.2404,0.20815,0.2989,0.1916,0.1437,0.2714,0.3872,0.29035,0.12685,0.26075,0.3249,0.11515,0.2188,0.09665,0.1521,0.11675,0.12905,0.1019,0.2282,0.14015,0.1859,0.14965
9.506945,0.23965,0.21295,0.2956,0.19,0.1436,0.272,0.3863,0.28875,0.12845,0.2628,0.3239,0.11525,0.22805,0.09895,0.15325,0.11895,0.127,0.09595,0.2367,0.14015,0.1925,0.1517
9.673611,0.2433,0.2203,0.29565,0.18605,0.14015,0.26855,0.38765,0.2957,0.12245,0.26235,0.33085,0.10865,0.23315,0.093,0.14955,0.11705,0.12565,0.10265,0.24525,0.1344,0.19525,0.15515
9.840278,0.23925,0.21785,0.29405,0.18265,0.1411,0.27,0.39035,0.2952,0.12445,0.26375,0.33225,0.11025,0.2369,0.09175,0.1498,0.11685,0.12185,0.09335,0.25405,0.1362,0.20495,0.1564
10.006945,0.2425,0.2173,0.2891,0.1846,0.1404,0.2676,0.38705,0.28935,0.1212,0.26315,0.32575,0.10975,0.25005,0.0954,0.1466,0.11525,0.12685,0.10155,0.26485,0.13585,0.2141,0.15835
10.173889,0.24165,0.2161,0.28655,0.18265,0.14265,0.26785,0.38975,0.293,0.1189,0.26295,0.3302,0.1082,0.25405,0.0947,0.14985,0.1135,0.12745,0.10235,0.2712,0.13515,0.2205,0.15925
10.340834,0.24225,0.2114,0.2836,0.18215,0.14065,0.27105,0.38845,0.2915,0.11775,0.26175,0.3321,0.1077,0.2559,0.09475,0.1505,0.11645,0.12755,0.10345,0.27795,0.13545,0.2308,0.1616
10.507778,0.2394,0.212,0.2843,0.1751,0.13925,0.26935,0.39185,0.29615,0.11925,0.2618,0.3254,0.1105,0.2665,0.0999,0.149,0.1162,0.12655,0.10375,0.2818,0.1346,0.24375,0.1598
